id,name,description
1,Reyvadin,Calradia'dan ilham alan stratejik yerlesim noktasi 1.
2,Rivacheg,Calradia'dan ilham alan stratejik yerlesim noktasi 2.
3,Khudan,Calradia'dan ilham alan stratejik yerlesim noktasi 3.
4,Curaw,Calradia'dan ilham alan stratejik yerlesim noktasi 4.
5,Wercheg,Calradia'dan ilham alan stratejik yerlesim noktasi 5.
6,Sargoth,Calradia'dan ilham alan stratejik yerlesim noktasi 6.
7,Tihr,Calradia'dan ilham alan stratejik yerlesim noktasi 7.
8,Veluca,Calradia'dan ilham alan stratejik yerlesim noktasi 8.
9,Suno,Calradia'dan ilham alan stratejik yerlesim noktasi 9.
10,Praven,Calradia'dan ilham alan stratejik yerlesim noktasi 10.
11,Uxkhal,Calradia'dan ilham alan stratejik yerlesim noktasi 11.
12,Yalen,Calradia'dan ilham alan stratejik yerlesim noktasi 12.
13,Jelkala,Calradia'dan ilham alan stratejik yerlesim noktasi 13.
14,Dhirim,Calradia'dan ilham alan stratejik yerlesim noktasi 14.
15,Ahmerrad,Calradia'dan ilham alan stratejik yerlesim noktasi 15.
16,Bariyye,Calradia'dan ilham alan stratejik yerlesim noktasi 16.
17,Shariz,Calradia'dan ilham alan stratejik yerlesim noktasi 17.
18,Durquba,Calradia'dan ilham alan stratejik yerlesim noktasi 18.
19,Halmar,Calradia'dan ilham alan stratejik yerlesim noktasi 19.
20,Narra,Calradia'dan ilham alan stratejik yerlesim noktasi 20.
21,Ichamur,Calradia'dan ilham alan stratejik yerlesim noktasi 21.
22,Tulga,Calradia'dan ilham alan stratejik yerlesim noktasi 22.
23,Almerra,Calradia'dan ilham alan stratejik yerlesim noktasi 23.
24,Ambean,Calradia'dan ilham alan stratejik yerlesim noktasi 24.
25,Asugan,Calradia'dan ilham alan stratejik yerlesim noktasi 25.
26,Ayike,Calradia'dan ilham alan stratejik yerlesim noktasi 26.
27,Azgad,Calradia'dan ilham alan stratejik yerlesim noktasi 27.
28,Bulugha,Calradia'dan ilham alan stratejik yerlesim noktasi 28.
29,Cez,Calradia'dan ilham alan stratejik yerlesim noktasi 29.
30,Chalbek,Calradia'dan ilham alan stratejik yerlesim noktasi 30.
31,Culmarr,Calradia'dan ilham alan stratejik yerlesim noktasi 31.
32,Distar,Calradia'dan ilham alan stratejik yerlesim noktasi 32.
33,Dramug,Calradia'dan ilham alan stratejik yerlesim noktasi 33.
34,Durrin,Calradia'dan ilham alan stratejik yerlesim noktasi 34.
35,Grunwalder,Calradia'dan ilham alan stratejik yerlesim noktasi 35.
36,Haringoth,Calradia'dan ilham alan stratejik yerlesim noktasi 36.
